"","n","a","n_detect_hat_100_0.7","n_detect_bar_100_0.7","n_detect_hat_100_0.8","n_detect_bar_100_0.8","n_detect_hat_100_0.9","n_detect_bar_100_0.9","n_detect_hat_200_0.7","n_detect_bar_200_0.7","n_detect_hat_200_0.8","n_detect_bar_200_0.8","n_detect_hat_200_0.9","n_detect_bar_200_0.9","n_detect_hat_300_0.7","n_detect_bar_300_0.7","n_detect_hat_300_0.8","n_detect_bar_300_0.8","n_detect_hat_300_0.9","n_detect_bar_300_0.9"
"1",1000,0.7,1.12,2.43,1.46,2.67,1.68,2.85,1.14,2.19,1.44,2.62,1.8,2.83,0.87,2.14,1.22,2.49,1.59,2.79
"2",1000,0.8,1.01,2.32,1.14,2.62,1.05,2.8,0.72,2.25,1.03,2.61,1.16,2.77,0.55,2,1.05,2.53,1.24,2.73
"3",1000,0.9,0.62,2.18,0.66,2.57,0.67,2.88,0.44,2.03,0.71,2.56,0.77,2.84,0.51,1.92,0.62,2.49,0.74,2.7
"4",2000,0.7,1.79,2.93,1.86,2.97,2.16,2.99,1.87,2.87,1.95,2.98,2.3,2.99,1.94,2.85,1.92,2.97,2.16,2.98
"5",2000,0.8,1.32,2.93,1.51,2.97,1.43,2.98,1.34,2.88,1.49,2.96,1.72,3,1.33,2.83,1.43,2.94,1.65,2.99
"6",2000,0.9,0.83,2.95,0.93,2.98,0.86,2.99,0.63,2.84,0.85,2.95,0.85,2.98,0.59,2.86,0.86,2.93,0.87,2.98
"7",3000,0.7,2.13,2.99,2.43,2.99,2.49,3,2.14,2.99,2.33,3,2.49,3,2.14,2.97,2.3,3,2.46,3
"8",3000,0.8,1.49,2.99,1.73,3,1.9,3,1.53,2.97,1.79,2.99,1.85,2.99,1.72,2.97,1.58,2.99,1.94,2.99
"9",3000,0.9,0.91,2.99,0.85,2.99,0.98,3,0.78,2.94,0.99,3,1.05,2.98,0.9,2.96,1.02,2.99,1.11,3
