"","n","a","n_detect_hat_100_0.7","n_detect_bar_100_0.7","n_detect_hat_100_0.8","n_detect_bar_100_0.8","n_detect_hat_100_0.9","n_detect_bar_100_0.9","n_detect_hat_200_0.7","n_detect_bar_200_0.7","n_detect_hat_200_0.8","n_detect_bar_200_0.8","n_detect_hat_200_0.9","n_detect_bar_200_0.9","n_detect_hat_300_0.7","n_detect_bar_300_0.7","n_detect_hat_300_0.8","n_detect_bar_300_0.8","n_detect_hat_300_0.9","n_detect_bar_300_0.9"
"1",1000,0.7,0.17,0.49,0.23,0.78,0.44,1.18,0.14,0.33,0.17,0.64,0.34,1.01,0.08,0.3,0.08,0.44,0.17,0.85
"2",1000,0.8,0.15,0.49,0.27,0.75,0.46,1.27,0.1,0.28,0.14,0.65,0.23,0.94,0.03,0.17,0.1,0.44,0.19,0.79
"3",1000,0.9,0.16,0.47,0.26,0.81,0.29,1.05,0.04,0.23,0.15,0.38,0.3,0.83,0.03,0.13,0.08,0.36,0.13,0.69
"4",2000,0.7,0.61,1.63,0.77,2.04,1.16,2.37,0.46,1.28,0.68,1.87,1.09,2.26,0.34,1.16,0.49,1.62,0.92,2.13
"5",2000,0.8,0.52,1.51,0.76,1.97,0.86,2.42,0.39,1.33,0.6,1.86,0.81,2.18,0.28,1,0.43,1.72,0.74,2.22
"6",2000,0.9,0.43,1.47,0.5,2.09,0.56,2.32,0.22,1.16,0.39,1.68,0.42,2.26,0.2,0.91,0.41,1.5,0.54,2.03
"7",3000,0.7,1.1,2.25,1.33,2.69,1.58,2.92,0.74,2.05,1.24,2.48,1.55,2.75,0.68,1.94,1.15,2.4,1.38,2.69
"8",3000,0.8,0.77,2.14,0.94,2.65,1.2,2.87,0.67,2.08,0.91,2.51,1.18,2.77,0.68,1.89,0.86,2.41,1.11,2.72
"9",3000,0.9,0.58,2.32,0.69,2.65,0.61,2.82,0.4,1.97,0.72,2.4,0.78,2.7,0.44,1.77,0.66,2.37,0.7,2.66
